2013-08-03-12:19:57,2013-08-03-12:29:57
2013-08-05-01:13:58,2013-08-05-01:23:58
2013-08-23-22:24:35,2013-08-23-22:34:35
2013-08-16-03:05:43,2013-08-16-03:15:43
2013-08-16-16:37:08,2013-08-16-16:47:08
2013-08-03-16:39:09,2013-08-03-16:49:09
2013-08-12-13:10:35,2013-08-12-13:20:35
2013-08-16-20:29:27,2013-08-16-20:39:27
2013-08-16-09:58:19,2013-08-16-10:08:19
2013-08-27-18:04:05,2013-08-27-18:14:05
2013-08-06-02:28:18,2013-08-06-02:58:18
2013-08-08-02:29:42,2013-08-08-02:59:42
2013-08-28-17:12:45,2013-08-28-17:42:45
2013-08-09-07:53:36,2013-08-09-08:23:36
2013-08-12-21:46:47,2013-08-12-22:16:47
2013-08-25-17:29:30,2013-08-25-17:59:30
2013-08-26-09:18:51,2013-08-26-09:48:51
2013-08-27-12:34:03,2013-08-27-13:04:03
2013-08-04-14:39:15,2013-08-04-15:09:15
2013-08-28-11:04:12,2013-08-28-11:34:12
2013-08-16-04:33:45,2013-08-16-05:33:45
2013-08-28-21:36:55,2013-08-28-22:36:55
2013-08-05-21:37:15,2013-08-05-22:37:15
2013-08-07-22:28:50,2013-08-07-23:28:50
2013-08-29-11:07:59,2013-08-29-12:07:59
2013-08-15-06:03:02,2013-08-15-07:03:02
2013-08-25-13:46:32,2013-08-25-14:46:32
2013-08-19-18:16:09,2013-08-19-19:16:09
2013-08-26-00:38:49,2013-08-26-01:38:49
2013-08-19-10:11:20,2013-08-19-11:11:20
2013-08-24-23:46:56,2013-08-25-11:46:56
2013-08-19-05:09:56,2013-08-19-17:09:56
2013-08-03-22:16:20,2013-08-04-10:16:20
2013-08-04-17:05:37,2013-08-05-05:05:37
2013-08-16-22:54:59,2013-08-17-10:54:59
2013-08-26-21:21:19,2013-08-27-09:21:19
2013-08-02-08:21:22,2013-08-02-20:21:22
2013-08-21-15:36:19,2013-08-22-03:36:19
2013-08-28-21:55:04,2013-08-29-09:55:04
2013-08-13-10:39:43,2013-08-13-22:39:43
2013-08-15-22:18:32,2013-08-16-22:18:32
2013-08-15-17:41:56,2013-08-16-17:41:56
2013-08-06-09:06:42,2013-08-07-09:06:42
2013-08-25-20:31:31,2013-08-26-20:31:31
2013-08-09-19:52:26,2013-08-10-19:52:26
2013-08-01-17:48:38,2013-08-02-17:48:38
2013-08-02-19:03:50,2013-08-03-19:03:50
2013-08-10-21:56:24,2013-08-11-21:56:24
2013-08-26-15:09:29,2013-08-27-15:09:29
2013-08-08-21:24:00,2013-08-09-21:24:00
2013-08-06-09:52:07,2013-08-13-09:52:07
2013-08-09-07:49:32,2013-08-16-07:49:32
2013-08-12-15:41:58,2013-08-19-15:41:58
2013-08-23-02:03:34,2013-08-30-02:03:34
2013-08-23-18:07:37,2013-08-30-18:07:37
2013-08-23-07:21:34,2013-08-30-07:21:34
2013-08-22-13:35:15,2013-08-29-13:35:15
2013-08-15-00:16:07,2013-08-22-00:16:07
2013-08-22-15:37:19,2013-08-29-15:37:19
2013-08-04-13:02:20,2013-08-11-13:02:20
